jetz_species_name,gape_width,trophic_trait,locomotory_trait,mass,handwing_index
Leptotila_wellsi,3.2,-0.08016018350249408,-1.7408690451121838,200,15.7
Leucosarcia_melanoleuca,4.6,2.677150445055298e-4,1.6485923936542297,428.6,32.3
Lopholaimus_antarcticus,5.8,0.06920591379907666,6.278941410002925,496.4,38
Macropygia_amboinensis,3.6,-0.05718078391763705,0.31865964268062985,237,32.650000000000006
Macropygia_emiliana,3.7,-0.05143593402142278,0.15493142063852214,161,32.4
Macropygia_mackinlayi,2.8,-0.10313958308735115,-1.1319149561134725,85.9,31.8
Macropygia_magna,3.8666666666666667,-0.04186118419439902,0.6489885117129481,237,32.66666666666667
Macropygia_nigrirostris,3.2,-0.08016018350249408,-1.2525568039339716,90.1,36.3
Macropygia_ruficeps,2.8,-0.10313958308735115,-1.568523548225756,81.9,36.6
Macropygia_rufipennis,3.8,-0.045691084125208545,1.3039013998813742,256,37.7
Macropygia_tenuirostris,3.6,-0.05718078391763705,0.453663615241663,177,33.2
Macropygia_unchall,3.3,-0.07441533360627985,0.37323571669466465,168,35.9
Metriopelia_aymara,2.7,-0.10888443298356539,-2.9932463224868924,61.8,39.2
Metriopelia_ceciliae,2.8,-0.10313958308735115,-4.211154500484316,55.1,25.4
Metriopelia_melanoptera,3,-0.09164988329492262,-2.1659879374320394,100,38.4
Metriopelia_morenoi,2.8,-0.10313958308735115,-4.165195701314602,28.6,27.2
Nesoenas_mayeri,5.1,0.02899196452557683,2.3092501317188696,302.8,29.8
Nesoenas_picturata,3.8,-0.045691084125208545,-0.14380077396461877,176.8,35.4
Ocyphaps_lophotes,4.2,-0.02271168454035148,-0.44253296856776125,204,40
Oena_capensis,2.1,-0.14335353236085094,-3.7802907582682463,40.6,39.3
Otidiphaps_nobilis,4.325,-0.015530622170083655,0.7164904979934664,500,14.9
Patagioenas_araucana,5,0.023247114629362593,2.4069125799545117,270,37
Patagioenas_caribaea,5.5,0.05197136411043389,2.3781883304734404,250,35.3
Patagioenas_cayennensis,4.6,2.677150445055298e-4,0.689202460986449,229,35.1
Patagioenas_corensis,4.8,0.011757414836934061,1.3613498988435169,272.3,34.8
Patagioenas_fasciata,5.8,0.06920591379907666,2.159884034417299,366.3,36.05
Patagioenas_flavirostris,4,-0.03420138433278001,1.0683625541365898,270.8,35.6
Patagioenas_goodsoni,4,-0.03420138433278001,-1.1261701062172587,176,34.2
Patagioenas_inornata,4.6,2.677150445055298e-4,2.337974381199941,365,39
Patagioenas_leucocephala,5.3,0.04048166431800536,1.2924117000889463,240.1,33.9
Patagioenas_maculosa,4.55,-0.00260470990360159,2.9727802947316175,347,38.8
Patagioenas_nigrirostris,5,0.023247114629362593,-0.3621050700207613,176,34.4
Patagioenas_oenops,4.3,-0.01696683464413724,1.3613498988435169,264.6,35.7
Patagioenas_picazuro,4.8,0.011757414836934061,2.8665005716516525,279,37.6
Patagioenas_plumbea,4.3,-0.01696683464413724,0.5455812135810925,178.8,34.9
Patagioenas_speciosa,4.8,0.011757414836934061,0.9419758564198751,258.5,36.5
Patagioenas_squamosa,4.4,-0.01122198474792295,2.412657429850727,312,35.6
Patagioenas_subvinacea,3.8,-0.045691084125208545,-0.6895615141049735,162.5,34.3
Petrophassa_albipennis,3.5,-0.06292563381385131,-2.0396012397153247,124.3,24.4
Petrophassa_rufipennis,3.6,-0.05718078391763705,-1.5455441486408985,159,21.3
Phapitreron_amethystinus,5.3,0.04048166431800536,-1.499585349471184,145,33.766666666666666
Phapitreron_brunneiceps,4.6,2.677150445055298e-4,-1.7466138950083976,146,36.3
Phapitreron_cinereiceps,4.7,0.00601256494071982,-1.9419387914796828,146,32.5
Phapitreron_leucotis,4,-0.03420138433278001,-2.525998530928132,108,33.96666666666667
Phaps_chalcoptera,3.8,-0.045691084125208545,1.6945511928239445,330.7,39
Phaps_elegans,3.7,-0.05143593402142278,-0.33338082053969,211.4,30.7
