city_id,city_name,ebird_species_name,seasonal,presence,origin,relative_abundance_proxy
140,Querétaro,Columba livia,Resident,Extant,Introduced,37.716282026512864
140,Querétaro,Columbina inca,Resident,Extant,Native,71.06243953557106
140,Querétaro,Columbina passerina,Resident,Extant,Native,1.5796911766350004
140,Querétaro,Patagioenas fasciata,Resident,Extant,Native,0
140,Querétaro,Streptopelia decaocto,Resident,Extant,Introduced,51.790183110154075
140,Querétaro,Zenaida asiatica,Resident,Extant,Native,69.8421085026599
140,Querétaro,Zenaida macroura,Resident,Extant,Native,37.95032404341976
143,Ciudad Juárez,Columba livia,Resident,Extant,Introduced,57.89215914347733
143,Ciudad Juárez,Columbina inca,Resident,Extant,Native,18.769670825781663
143,Ciudad Juárez,Patagioenas fasciata,Resident,Extant,Native,0
143,Ciudad Juárez,Streptopelia decaocto,Resident,Extant,Introduced,33.613338014689305
143,Ciudad Juárez,Zenaida asiatica,Resident,Extant,Native,65.58916439483619
143,Ciudad Juárez,Zenaida macroura,Resident,Extant,Native,48.00979893190974
144,San Luis Potosí,Columba livia,Resident,Extant,Introduced,48.54005524798206
144,San Luis Potosí,Columbina inca,Resident,Extant,Native,49.63470418787127
144,San Luis Potosí,Columbina passerina,Resident,Extant,Native,0
144,San Luis Potosí,Streptopelia decaocto,Resident,Extant,Introduced,11.655813001081636
144,San Luis Potosí,Zenaida asiatica,Resident,Extant,Native,70.63425079315861
144,San Luis Potosí,Zenaida macroura,Resident,Extant,Native,8.812367232157753
154,Cuernavaca,Columba livia,Resident,Extant,Introduced,23.095623062199948
154,Cuernavaca,Columbina inca,Resident,Extant,Native,60.42978181699553
154,Cuernavaca,Columbina passerina,Resident,Extant,Native,2.1435547210029173
154,Cuernavaca,Patagioenas fasciata,Resident,Extant,Native,1.776964993553945
154,Cuernavaca,Streptopelia decaocto,Resident,Extant,Introduced,16.373958723671798
154,Cuernavaca,Zenaida asiatica,Non-breeding Season,Extant,Native,3.215417268725537
154,Cuernavaca,Zenaida macroura,Resident,Extant,Native,3.215417268725537
155,Mexico City,Columba livia,Resident,Extant,Introduced,50.736858468866494
155,Mexico City,Columbina inca,Resident,Extant,Native,70.90393921850216
155,Mexico City,Patagioenas fasciata,Resident,Extant,Native,0.1289181523976018
155,Mexico City,Streptopelia decaocto,Resident,Extant,Introduced,22.962511303543096
155,Mexico City,Zenaida asiatica,Resident,Extant,Native,19.857833353581245
155,Mexico City,Zenaida macroura,Resident,Extant,Native,16.988632300584477
178,Puebla,Columba livia,Resident,Extant,Introduced,47.71649456271665
178,Puebla,Columbina inca,Resident,Extant,Native,45.02952404903303
178,Puebla,Patagioenas fasciata,Resident,Extant,Native,0
178,Puebla,Streptopelia decaocto,Resident,Extant,Introduced,19.607290036239014
178,Puebla,Zenaida asiatica,Non-breeding Season,Extant,Native,48.45110337422888
178,Puebla,Zenaida macroura,Resident,Extant,Native,16.768513040070697
179,Saltillo,Columba livia,Resident,Extant,Introduced,44.156465296317066
179,Saltillo,Columbina inca,Resident,Extant,Native,39.634756902753566
179,Saltillo,Columbina passerina,Resident,Extant,Native,1.8413422342368104
179,Saltillo,Patagioenas fasciata,Resident,Extant,Native,1.8413422342368104
179,Saltillo,Streptopelia decaocto,Resident,Extant,Introduced,47.421085400001424
179,Saltillo,Zenaida asiatica,Resident,Extant,Native,76.90604004017065
179,Saltillo,Zenaida macroura,Resident,Extant,Native,20.18678626135425
187,Vancouver,Columba livia,Resident,Extant,Introduced,37.12796227099007
187,Vancouver,Patagioenas fasciata,Breeding Season,Extant,Native,12.155109453950669
187,Vancouver,Streptopelia decaocto,Resident,Extant,Introduced,19.55202791160455
187,Vancouver,Zenaida macroura,Resident,Extant,Native,5.743871896015233
193,Salt Lake City,Columba livia,Resident,Extant,Introduced,46.271850739955624
193,Salt Lake City,Streptopelia decaocto,Resident,Extant,Introduced,65.39395182842622
193,Salt Lake City,Zenaida macroura,Resident,Extant,Native,61.02573581670463
196,Albuquerque,Columba livia,Resident,Extant,Introduced,68.50063021667124
196,Albuquerque,Patagioenas fasciata,Breeding Season,Extant,Native,0.6002358501880652
196,Albuquerque,Streptopelia decaocto,Resident,Extant,Introduced,58.75878687114407
196,Albuquerque,Zenaida macroura,Resident,Extant,Native,66.50699620409499
200,Monterrey,Columba livia,Resident,Extant,Introduced,41.16157584210752
200,Monterrey,Columbina inca,Resident,Extant,Native,37.35239009097621
200,Monterrey,Columbina passerina,Resident,Extant,Native,2.7968051091983543
200,Monterrey,Patagioenas fasciata,Resident,Extant,Native,0
200,Monterrey,Streptopelia decaocto,Resident,Extant,Introduced,22.316533216847297
200,Monterrey,Zenaida asiatica,Resident,Extant,Native,69.27693811678587
200,Monterrey,Zenaida macroura,Resident,Extant,Native,11.742603552769124
202,Oaxaca,Columba livia,Resident,Extant,Introduced,46.08080051769429
202,Oaxaca,Columbina inca,Resident,Extant,Native,75.15012992860972
202,Oaxaca,Columbina passerina,Resident,Extant,Native,7.28031082633911
202,Oaxaca,Leptotila verreauxi,Resident,Extant,Native,10.220196591076236
