city_id,city_name,total_city_checklists,total_city_effort,total_city_area_m2,total_city_area_surveyed_m2,percentage_total_city_area_surveyed,jetz_species_name,percentage_checklists,percentage_effort,percentage_surveyed_area,seasonal,presence,origin
73,Culiacán,124,4927,132746249,24314160.96,18,Zenaida_macroura,13.71,17.41,25.040219319169957,Non-breeding Season,Extant,Native
74,Las Vegas,8749,292430,878525890,422701930.36,48,Columba_livia,63.09,66.45,70.01723882309643,Resident,Extant,Introduced
74,Las Vegas,8749,292430,878525890,422701930.36,48,Columbina_inca,6.84,8.45,6.905940560796259,Resident,Extant,Native
74,Las Vegas,8749,292430,878525890,422701930.36,48,Columbina_passerina,0.02,0.02,0.37143873193643107,Passage,Extant,Native
74,Las Vegas,8749,292430,878525890,422701930.36,48,Patagioenas_fasciata,0.09,0.09,1.2250037811727015,Breeding Season,Extant,Native
74,Las Vegas,8749,292430,878525890,422701930.36,48,Streptopelia_capicola,0.01,0.02,0.18571936478534892,NA,NA,NA
74,Las Vegas,8749,292430,878525890,422701930.36,48,Streptopelia_decaocto,19.16,21.59,33.703296890238505,Resident,Extant,Introduced
74,Las Vegas,8749,292430,878525890,422701930.36,48,Streptopelia_roseogrisea,0.01,0.01,0.18571936478534892,NA,NA,NA
74,Las Vegas,8749,292430,878525890,422701930.36,48,Zenaida_asiatica,2.54,3.86,9.039044507665114,Breeding Season,Extant,Native
74,Las Vegas,8749,292430,878525890,422701930.36,48,Zenaida_macroura,51.77,62.11,52.557687508261985,Resident,Extant,Native
79,Phoenix,40339,1323476,NA,1534946956.86,66,Columba_livia,50.15,51.62,59.53567204559434,Resident,Extant,Introduced
79,Phoenix,40339,1323476,NA,1534946956.86,66,Columbina_inca,23.32,23.65,35.11770405165635,Resident,Extant,Native
79,Phoenix,40339,1323476,NA,1534946956.86,66,Columbina_passerina,0.07,0.09,1.2588403347518657,Resident,Extant,Native
79,Phoenix,40339,1323476,NA,1534946956.86,66,Columbina_talpacoti,0.17,0.29,0.5227078547660713,NA,NA,NA
79,Phoenix,40339,1323476,NA,1534946956.86,66,Patagioenas_fasciata,0,0,0,Resident,Extant,Native
79,Phoenix,40339,1323476,NA,1534946956.86,66,Streptopelia_decaocto,43.7,44.21,60.04075100258055,Resident,Extant,Introduced
79,Phoenix,40339,1323476,NA,1534946956.86,66,Streptopelia_roseogrisea,0.02,0.02,0.15343318669576714,NA,NA,NA
