city_id,city_name,jetz_species_name,total_city_checklists,total_city_effort,seasonal,presence,origin,total_presence_checklists,total_presence_effort,percentage_checklists,percentage_effort
1,Honolulu,Columba_livia,4609,111638,Resident,Extant,Introduced,1039,33190,22.542850943805597,29.730020244002937
1,Honolulu,Geopelia_striata,4609,111638,NA,NA,NA,3065,74986,66.50032545020612,67.16888514663466
1,Honolulu,Stigmatopelia_chinensis,4609,111638,Resident,Extant,Introduced,2818,69831,61.14124538945541,62.55128182160196
1,Honolulu,Zenaida_macroura,4609,111638,NA,NA,NA,1,60,0.02169668040789759,0.05374514054354252
10,San Jose,Columba_livia,106592,3761697,Resident,Extant,Introduced,15345,669250,14.396014710297209,17.79117244158687
10,San Jose,Columbina_passerina,106592,3761697,Passage,Extant,Native,0,0,0,0
10,San Jose,Geopelia_cuneata,106592,3761697,NA,NA,NA,1,62,9.381567096967878e-4,0.0016481922919363255
10,San Jose,Patagioenas_fasciata,106592,3761697,Resident,Extant,Native,3222,209803,3.0227409186430503,5.577349797179305
10,San Jose,Streptopelia_decaocto,106592,3761697,Resident,Extant,Introduced,5644,313511,5.29495646952867,8.334296994149183
10,San Jose,Streptopelia_orientalis,106592,3761697,NA,NA,NA,172,9713,0.16136295406784748,0.25820793115447627
10,San Jose,Streptopelia_roseogrisea,106592,3761697,NA,NA,NA,1,120,9.381567096967878e-4,0.003190049597296114
10,San Jose,Zenaida_asiatica,106592,3761697,NA,NA,NA,27,1015,0.02533023116181327,0.0269825028437963
10,San Jose,Zenaida_macroura,106592,3761697,Resident,Extant,Native,31400,1476723,29.458120684479134,39.25683009556591
14,Los Angeles,Columba_livia,121497,5390320,Resident,Extant,Introduced,11806,549248,9.717112356683705,10.189524926163939
14,Los Angeles,Columbina_inca,121497,5390320,NA,NA,NA,10,265,0.008230655900968747,0.004916220187298714
14,Los Angeles,Columbina_passerina,121497,5390320,Resident,Extant,Native,44,1822,0.03621488596426249,0.03380133275946511
14,Los Angeles,Patagioenas_fasciata,121497,5390320,Resident,Extant,Native,13833,742951,11.38546630781007,13.783059261787797
14,Los Angeles,Stigmatopelia_chinensis,121497,5390320,NA,NA,NA,60,2271,0.04938393540581249,0.04213107941643539
14,Los Angeles,Streptopelia_decaocto,121497,5390320,Resident,Extant,Introduced,9856,512197,8.112134455994799,9.50216313688241
14,Los Angeles,Streptopelia_roseogrisea,121497,5390320,NA,NA,NA,3,230,0.0024691967702906246,0.004266908087089449
14,Los Angeles,Zenaida_asiatica,121497,5390320,Breeding Season,Extant,Native,142,14395,0.11687531379375622,0.2670527909289244
14,Los Angeles,Zenaida_macroura,121497,5390320,Resident,Extant,Native,59792,3245892,49.21273776307234,60.21705575921281
19,Concord,Columba_livia,12338,433900,Resident,Extant,Introduced,797,30239,6.459717944561517,6.969117308135515
19,Concord,Patagioenas_fasciata,12338,433900,Resident,Extant,Native,840,55712,6.808234721997082,12.839824844434201
19,Concord,Streptopelia_decaocto,12338,433900,Resident,Extant,Introduced,278,11306,2.253201491327606,2.60566950910348
19,Concord,Zenaida_macroura,12338,433900,Resident,Extant,Native,5073,206946,41.11687469606095,47.69439963125144
21,Tijuana,Columba_livia,65072,2357779,Resident,Extant,Introduced,8041,413975,12.357081386771576,17.55783726973563
21,Tijuana,Columbina_passerina,65072,2357779,Resident,Extant,Native,17,688,0.02612490779444308,0.0291800037238435
21,Tijuana,Columbina_talpacoti,65072,2357779,NA,NA,NA,2,100,0.003073518564052127,0.004241279611023764
21,Tijuana,Patagioenas_fasciata,65072,2357779,Resident,Extant,Native,7,366,0.010757314974182444,0.015523083376346978
21,Tijuana,Stigmatopelia_chinensis,65072,2357779,NA,NA,NA,1,20,0.0015367592820260635,8.482559222047529e-4
21,Tijuana,Streptopelia_decaocto,65072,2357779,Resident,Extant,Introduced,5784,264630,8.888615687238751,11.223698234652188
21,Tijuana,Streptopelia_roseogrisea,65072,2357779,NA,NA,NA,1,5,0.0015367592820260635,2.1206398055118822e-4
21,Tijuana,Zenaida_asiatica,65072,2357779,Breeding Season,Extant,Native,111,5648,0.17058028030489303,0.23954747243062222
21,Tijuana,Zenaida_macroura,65072,2357779,Resident,Extant,Native,30260,1263956,46.50233587410868,53.60790812031153
