city_id,city_name,ebird_species_name,total_city_checklists,total_city_locations,total_city_effort,seasonal,presence,origin,total_presence_checklists,total_presence_effort,total_presence_locations,percentage_checklists,percentage_effort,percentage_locations
14,Los Angeles,Columbina inca,121497,17515,5390320,NA,NA,NA,10,265,4,0.008230655900968747,0.004916220187298714,0.022837567799029405
14,Los Angeles,Columbina passerina,121497,17515,5390320,Resident,Extant,Native,44,1822,28,0.03621488596426249,0.03380133275946511,0.15986297459320584
14,Los Angeles,Patagioenas fasciata,121497,17515,5390320,Resident,Extant,Native,13833,742951,1633,11.38546630781007,13.783059261787797,9.323437053953754
14,Los Angeles,Spilopelia chinensis,121497,17515,5390320,NA,NA,NA,60,2271,41,0.04938393540581249,0.04213107941643539,0.23408506994005138
14,Los Angeles,Streptopelia decaocto,121497,17515,5390320,Resident,Extant,Introduced,9856,512197,1788,8.112134455994799,9.50216313688241,10.208392806166144
14,Los Angeles,Streptopelia roseogrisea,121497,17515,5390320,NA,NA,NA,3,230,3,0.0024691967702906246,0.004266908087089449,0.01712817584927205
14,Los Angeles,Zenaida asiatica,121497,17515,5390320,Breeding Season,Extant,Native,142,14395,31,0.11687531379375622,0.2670527909289244,0.17699115044247787
14,Los Angeles,Zenaida macroura,121497,17515,5390320,Resident,Extant,Native,59792,3245892,6839,49.21273776307234,60.21705575921281,39.046531544390525
19,Concord,Columba livia,12338,1742,433900,Resident,Extant,Introduced,797,30239,213,6.459717944561517,6.969117308135515,12.227324913892078
19,Concord,Patagioenas fasciata,12338,1742,433900,Resident,Extant,Native,840,55712,87,6.808234721997082,12.839824844434201,4.994259471871412
19,Concord,Streptopelia decaocto,12338,1742,433900,Resident,Extant,Introduced,278,11306,109,2.253201491327606,2.60566950910348,6.257175660160735
19,Concord,Zenaida macroura,12338,1742,433900,Resident,Extant,Native,5073,206946,610,41.11687469606095,47.69439963125144,35.017221584385766
21,Tijuana,Columba livia,65072,7628,2357779,Resident,Extant,Introduced,8041,413975,1168,12.357081386771576,17.55783726973563,15.312008390141584
21,Tijuana,Columbina passerina,65072,7628,2357779,Resident,Extant,Native,17,688,7,0.02612490779444308,0.0291800037238435,0.09176717357105402
21,Tijuana,Columbina talpacoti,65072,7628,2357779,NA,NA,NA,2,100,1,0.003073518564052127,0.004241279611023764,0.013109596224436287
21,Tijuana,Patagioenas fasciata,65072,7628,2357779,Resident,Extant,Native,7,366,6,0.010757314974182444,0.015523083376346978,0.07865757734661773
21,Tijuana,Spilopelia chinensis,65072,7628,2357779,NA,NA,NA,1,20,1,0.0015367592820260635,8.482559222047529e-4,0.013109596224436287
21,Tijuana,Streptopelia decaocto,65072,7628,2357779,Resident,Extant,Introduced,5784,264630,916,8.888615687238751,11.223698234652188,12.00839014158364
21,Tijuana,Streptopelia roseogrisea,65072,7628,2357779,NA,NA,NA,1,5,1,0.0015367592820260635,2.1206398055118822e-4,0.013109596224436287
21,Tijuana,Zenaida asiatica,65072,7628,2357779,Breeding Season,Extant,Native,111,5648,26,0.17058028030489303,0.23954747243062222,0.34084950183534346
21,Tijuana,Zenaida macroura,65072,7628,2357779,Resident,Extant,Native,30260,1263956,2851,46.50233587410868,53.60790812031153,37.37545883586785
29,Bakersfield,Columba livia,2133,467,68081,Resident,Extant,Introduced,265,10914,101,12.423816221284575,16.03090436391945,21.62740899357602
29,Bakersfield,Columbina passerina,2133,467,68081,Resident,Extant,Native,0,0,0,0,0,0
29,Bakersfield,Patagioenas fasciata,2133,467,68081,Resident,Extant,Native,1,10,1,0.04688232536333802,0.014688385893274187,0.21413276231263384
29,Bakersfield,Spilopelia chinensis,2133,467,68081,NA,NA,NA,9,288,3,0.4219409282700422,0.4230255137262966,0.6423982869379015
29,Bakersfield,Streptopelia decaocto,2133,467,68081,Resident,Extant,Introduced,452,13873,134,21.190811064228786,20.37719774973928,28.693790149892934
29,Bakersfield,Zenaida macroura,2133,467,68081,Resident,Extant,Native,1441,48377,295,67.55743084857009,71.05800443589254,63.16916488222698
46,Fresno,Columba livia,3445,887,95305,Resident,Extant,Introduced,945,20051,272,27.431059506531206,21.038770263889617,30.665163472378804
46,Fresno,Patagioenas fasciata,3445,887,95305,Resident,Extant,Native,4,110,4,0.11611030478955008,0.1154189182099575,0.4509582863585118
46,Fresno,Spilopelia chinensis,3445,887,95305,NA,NA,NA,21,932,12,0.6095791001451378,0.9779130161061854,1.3528748590755355
46,Fresno,Streptopelia decaocto,3445,887,95305,Resident,Extant,Introduced,278,5182,127,8.06966618287373,5.437280310581817,14.317925591882751
46,Fresno,Zenaida macroura,3445,887,95305,Resident,Extant,Native,1719,53207,451,49.898403483309146,55.828130738156446,50.845546786922206
49,Sacramento,Columba livia,29631,3617,1084486,Resident,Extant,Introduced,2215,79262,483,7.475279268333839,7.308715834044884,13.35360796239978
49,Sacramento,Patagioenas fasciata,29631,3617,1084486,Resident,Extant,Native,11,559,5,0.037123283048159025,0.05154515595406488,0.13823610727121924
49,Sacramento,Streptopelia decaocto,29631,3617,1084486,Resident,Extant,Introduced,659,36108,157,2.224022138976072,3.329503562056126,4.340613768316285
49,Sacramento,Zenaida asiatica,29631,3617,1084486,NA,NA,NA,3,144,3,0.010124531740407006,0.013278179709097213,0.08294166436273155
49,Sacramento,Zenaida macroura,29631,3617,1084486,Resident,Extant,Native,16625,696602,1597,56.10678006142216,64.23337876192039,44.15261266242742
57,Mexicali,Columba livia,98,45,2875,Resident,Extant,Introduced,63,1340,35,64.28571428571429,46.608695652173914,77.77777777777777
57,Mexicali,Columbina inca,98,45,2875,NA,NA,NA,16,355,10,16.3265306122449,12.347826086956522,22.22222222222222
57,Mexicali,Columbina passerina,98,45,2875,Resident,Extant,Native,4,60,4,4.081632653061225,2.0869565217391304,8.88888888888889
57,Mexicali,Patagioenas fasciata,98,45,2875,Resident,Extant,Native,0,0,0,0,0,0
57,Mexicali,Streptopelia decaocto,98,45,2875,Resident,Extant,Introduced,52,1170,32,53.06122448979592,40.69565217391305,71.11111111111111
57,Mexicali,Zenaida asiatica,98,45,2875,Resident,Extant,Native,11,173,4,11.224489795918368,6.017391304347826,8.88888888888889
57,Mexicali,Zenaida macroura,98,45,2875,Resident,Extant,Native,29,768,14,29.591836734693878,26.713043478260868,31.11111111111111
65,Hermosillo,Columba livia,1005,188,21788,Resident,Extant,Introduced,414,9730,107,41.19402985074627,44.65760969340921,56.91489361702128
65,Hermosillo,Columbina inca,1005,188,21788,Resident,Extant,Native,458,11448,87,45.57213930348259,52.542684046264,46.276595744680854
65,Hermosillo,Columbina passerina,1005,188,21788,Resident,Extant,Native,4,456,3,0.39800995024875624,2.0928951716541215,1.5957446808510638
65,Hermosillo,Columbina talpacoti,1005,188,21788,NA,NA,NA,1,23,1,0.09950248756218906,0.10556269506150175,0.5319148936170213
65,Hermosillo,Patagioenas flavirostris,1005,188,21788,Resident,Extant,Native,0,0,0,0,0,0
65,Hermosillo,Streptopelia decaocto,1005,188,21788,Resident,Extant,Introduced,618,13251,138,61.492537313432834,60.817881402606936,73.40425531914893
65,Hermosillo,Zenaida asiatica,1005,188,21788,Resident,Extant,Native,709,16840,146,70.54726368159204,77.29025151459518,77.65957446808511
65,Hermosillo,Zenaida macroura,1005,188,21788,Resident,Extant,Native,377,9188,83,37.51243781094527,42.17000183587296,44.148936170212764
73,Culiacán,Columba livia,124,49,4927,Resident,Extant,Introduced,20,969,14,16.129032258064516,19.667140247615183,28.571428571428573
73,Culiacán,Columbina inca,124,49,4927,Resident,Extant,Native,24,1014,15,19.35483870967742,20.58047493403694,30.612244897959183
73,Culiacán,Columbina passerina,124,49,4927,Resident,Extant,Native,6,397,6,4.838709677419355,8.057641566876395,12.244897959183673
73,Culiacán,Columbina talpacoti,124,49,4927,Resident,Extant,Native,6,275,6,4.838709677419355,5.5814897503551855,12.244897959183673
73,Culiacán,Geotrygon montana,124,49,4927,NA,NA,NA,1,30,1,0.8064516129032258,0.6088897909478385,2.0408163265306123
73,Culiacán,Leptotila verreauxi,124,49,4927,NA,NA,NA,1,15,1,0.8064516129032258,0.30444489547391923,2.0408163265306123
73,Culiacán,Patagioenas flavirostris,124,49,4927,Resident,Extant,Native,4,153,4,3.225806451612903,3.105337933833976,8.16326530612245
73,Culiacán,Streptopelia decaocto,124,49,4927,Resident,Extant,Introduced,16,641,12,12.903225806451612,13.009945199918814,24.489795918367346
73,Culiacán,Zenaida asiatica,124,49,4927,Resident,Extant,Native,41,1898,20,33.064516129032256,38.522427440633244,40.816326530612244
73,Culiacán,Zenaida macroura,124,49,4927,Non-breeding Season,Extant,Native,17,858,10,13.709677419354838,17.41424802110818,20.408163265306122
74,Las Vegas,Columba livia,8749,1371,292430,Resident,Extant,Introduced,5520,194332,749,63.09292490570351,66.45419416612522,54.63165572574763
74,Las Vegas,Columbina inca,8749,1371,292430,Resident,Extant,Native,598,24715,50,6.8350668647845465,8.451595253564955,3.6469730123997084
74,Las Vegas,Columbina passerina,8749,1371,292430,Passage,Extant,Native,2,68,2,0.022859755400617212,0.023253428170844304,0.14587892049598833
74,Las Vegas,Patagioenas fasciata,8749,1371,292430,Breeding Season,Extant,Native,8,252,7,0.09143902160246885,0.08617446910371714,0.5105762217359592
74,Las Vegas,Streptopelia capicola,8749,1371,292430,NA,NA,NA,1,60,1,0.011429877700308606,0.020517730738980267,0.07293946024799416
74,Las Vegas,Streptopelia decaocto,8749,1371,292430,Resident,Extant,Introduced,1676,63135,258,19.156475025717224,21.589782170091986,18.818380743982495
74,Las Vegas,Streptopelia roseogrisea,8749,1371,292430,NA,NA,NA,1,15,1,0.011429877700308606,0.005129432684745067,0.07293946024799416
74,Las Vegas,Zenaida asiatica,8749,1371,292430,Breeding Season,Extant,Native,222,11290,59,2.5374328494685106,3.8607530007181206,4.303428154631655
74,Las Vegas,Zenaida macroura,8749,1371,292430,Resident,Extant,Native,4529,181623,461,51.76591610469768,62.10819683343022,33.62509117432531
79,Phoenix,Columba livia,40339,6911,1323476,Resident,Extant,Introduced,20232,683156,2658,50.15493690969038,51.61831419685737,38.46042540876863
79,Phoenix,Columbina inca,40339,6911,1323476,Resident,Extant,Native,9407,312940,1284,23.319864151317585,23.645309775167817,18.5790768340327
79,Phoenix,Columbina passerina,40339,6911,1323476,Resident,Extant,Native,29,1181,26,0.07189072609633357,0.08923471222749789,0.3762118362031544
79,Phoenix,Columbina talpacoti,40339,6911,1323476,NA,NA,NA,69,3822,13,0.17105034829817298,0.2887849874119364,0.1881059181015772
79,Phoenix,Patagioenas fasciata,40339,6911,1323476,Resident,Extant,Native,0,0,0,0,0,0
79,Phoenix,Streptopelia decaocto,40339,6911,1323476,Resident,Extant,Introduced,17628,585086,2518,43.69964550435063,44.20828182755108,36.43466936767472
79,Phoenix,Streptopelia roseogrisea,40339,6911,1323476,NA,NA,NA,9,293,3,0.022310914995413867,0.022138671196153162,0.04340905802344089
79,Phoenix,Zenaida asiatica,40339,6911,1323476,Breeding Season,Extant,Native,12028,429947,1837,29.81729839609311,32.48619544290943,26.58081319635364
79,Phoenix,Zenaida macroura,40339,6911,1323476,Resident,Extant,Native,24885,883749,3683,61.689679962319346,66.7748414024886,53.291853566777604
84,Tucson,Columba livia,34527,3718,1035100,Resident,Extant,Introduced,9652,302017,944,27.954933819909055,29.17756738479374,25.38999462076385
84,Tucson,Columbina inca,34527,3718,1035100,Resident,Extant,Native,46,2347,19,0.13322906710690186,0.226741377644672,0.5110274341043571
84,Tucson,Columbina passerina,34527,3718,1035100,Resident,Extant,Native,4,173,4,0.011585136270165377,0.016713361027920006,0.10758472296933835
84,Tucson,Columbina talpacoti,34527,3718,1035100,NA,NA,NA,32,1071,7,0.09268109016132302,0.10346826393585161,0.18827326519634213
84,Tucson,Patagioenas fasciata,34527,3718,1035100,Resident,Extant,Native,2,200,2,0.005792568135082689,0.019321804656554923,0.05379236148466918
84,Tucson,Streptopelia decaocto,34527,3718,1035100,Resident,Extant,Introduced,5118,222315,617,14.823181857676602,21.47763501111004,16.59494351802044
84,Tucson,Streptopelia roseogrisea,34527,3718,1035100,NA,NA,NA,4,615,2,0.011585136270165377,0.059414549318906384,0.05379236148466918
84,Tucson,Zenaida asiatica,34527,3718,1035100,NA,NA,NA,12826,439979,1684,37.147739450285286,42.50594145493189,45.29316837009145
84,Tucson,Zenaida macroura,34527,3718,1035100,Resident,Extant,Native,24730,822456,2359,71.62510499029744,79.45667085305767,63.4480903711673
88,Guadalajara,Columba livia,882,354,25863,Resident,Extant,Introduced,364,10969,160,41.26984126984127,42.41193983683254,45.19774011299435
88,Guadalajara,Columbina inca,882,354,25863,Resident,Extant,Native,611,18730,257,69.27437641723355,72.42005954452307,72.59887005649718
88,Guadalajara,Columbina passerina,882,354,25863,Resident,Extant,Native,2,130,2,0.22675736961451248,0.5026485713180993,0.5649717514124294
88,Guadalajara,Leptotila verreauxi,882,354,25863,Resident,Extant,Native,3,86,3,0.3401360544217687,0.332521362564281,0.847457627118644
88,Guadalajara,Patagioenas fasciata,882,354,25863,Resident,Extant,Native,0,0,0,0,0,0
88,Guadalajara,Streptopelia decaocto,882,354,25863,Resident,Extant,Introduced,341,10302,126,38.662131519274375,39.832966013223526,35.59322033898305
88,Guadalajara,Streptopelia roseogrisea,882,354,25863,NA,NA,NA,1,14,1,0.11337868480725624,0.054131384603487605,0.2824858757062147
88,Guadalajara,Zenaida asiatica,882,354,25863,Resident,Extant,Native,304,8550,163,34.467120181405896,33.058809882844216,46.045197740113
88,Guadalajara,Zenaida macroura,882,354,25863,Resident,Extant,Native,29,1219,20,3.2879818594104306,4.7132969879751,5.649717514124294
93,Durango,Columba livia,89,28,7640,Resident,Extant,Introduced,63,6614,13,70.78651685393258,86.57068062827226,46.42857142857143
93,Durango,Columbina inca,89,28,7640,Resident,Extant,Native,58,5951,13,65.1685393258427,77.89267015706807,46.42857142857143
93,Durango,Leptotila verreauxi,89,28,7640,Resident,Extant,Native,0,0,0,0,0,0
93,Durango,Patagioenas fasciata,89,28,7640,Resident,Extant,Native,0,0,0,0,0,0
93,Durango,Streptopelia decaocto,89,28,7640,Resident,Extant,Introduced,53,6064,9,59.550561797752806,79.3717277486911,32.142857142857146
93,Durango,Zenaida asiatica,89,28,7640,Resident,Extant,Native,57,6157,12,64.04494382022472,80.58900523560209,42.857142857142854
93,Durango,Zenaida macroura,89,28,7640,Resident,Extant,Native,61,6680,12,68.53932584269663,87.43455497382199,42.857142857142854
101,Portland,Columba livia,80158,8895,2530291,Resident,Extant,Introduced,3434,110539,743,4.284039022929714,4.368627956231121,8.35300730747611
101,Portland,Patagioenas fasciata,80158,8895,2530291,Breeding Season,Extant,Native,1553,77657,264,1.9374235884128845,3.0690936338942834,2.9679595278246205
101,Portland,Streptopelia decaocto,80158,8895,2530291,Resident,Extant,Introduced,3246,191072,464,4.0495022330896475,7.5513844059833435,5.216413715570545
101,Portland,Zenaida macroura,80158,8895,2530291,Resident,Extant,Native,7018,364763,999,8.755208463285012,14.415851773570708,11.231028667790893
111,Chihuahua,Columba livia,106,64,4930,Resident,Extant,Introduced,37,1539,24,34.905660377358494,31.21703853955375,37.5
111,Chihuahua,Columbina inca,106,64,4930,Resident,Extant,Native,41,2892,23,38.679245283018865,58.66125760649087,35.9375
111,Chihuahua,Streptopelia decaocto,106,64,4930,Resident,Extant,Introduced,29,1043,22,27.358490566037737,21.156186612576064,34.375
111,Chihuahua,Zenaida asiatica,106,64,4930,Breeding Season,Extant,Native,57,3377,33,53.77358490566038,68.49898580121703,51.5625
111,Chihuahua,Zenaida macroura,106,64,4930,Resident,Extant,Native,20,1130,15,18.867924528301888,22.920892494929006,23.4375
112,Aguascalientes,Columba livia,165,81,6720,Resident,Extant,Introduced,59,2536,38,35.75757575757576,37.73809523809524,46.91358024691358
112,Aguascalientes,Columbina inca,165,81,6720,Resident,Extant,Native,109,5165,57,66.06060606060606,76.86011904761905,70.37037037037037
112,Aguascalientes,Columbina passerina,165,81,6720,Resident,Extant,Native,2,155,1,1.2121212121212122,2.306547619047619,1.2345679012345678
112,Aguascalientes,Leptotila verreauxi,165,81,6720,NA,NA,NA,1,8,1,0.6060606060606061,0.11904761904761904,1.2345679012345678
112,Aguascalientes,Patagioenas fasciata,165,81,6720,Resident,Extant,Native,0,0,0,0,0,0
112,Aguascalientes,Streptopelia decaocto,165,81,6720,Resident,Extant,Introduced,20,789,17,12.121212121212121,11.741071428571429,20.987654320987655
112,Aguascalientes,Zenaida asiatica,165,81,6720,Resident,Extant,Native,122,5463,67,73.93939393939394,81.29464285714286,82.71604938271605
112,Aguascalientes,Zenaida macroura,165,81,6720,Resident,Extant,Native,9,517,6,5.454545454545454,7.693452380952381,7.407407407407407
116,Morelia,Columba livia,579,112,48595,Resident,Extant,Introduced,61,3155,36,10.535405872193436,6.492437493569297,32.142857142857146
116,Morelia,Columbina inca,579,112,48595,Resident,Extant,Native,359,40614,57,62.00345423143351,83.57649963988065,50.892857142857146
116,Morelia,Columbina passerina,579,112,48595,NA,NA,NA,1,10,1,0.17271157167530224,0.020578248791027882,0.8928571428571429
116,Morelia,Leptotila verreauxi,579,112,48595,Resident,Extant,Native,0,0,0,0,0,0
116,Morelia,Patagioenas fasciata,579,112,48595,Resident,Extant,Native,0,0,0,0,0,0
116,Morelia,Streptopelia decaocto,579,112,48595,Resident,Extant,Introduced,112,9782,47,19.34369602763385,20.129642967383475,41.964285714285715
116,Morelia,Zenaida asiatica,579,112,48595,Resident,Extant,Native,1,25,1,0.17271157167530224,0.05144562197756971,0.8928571428571429
116,Morelia,Zenaida macroura,579,112,48595,Resident,Extant,Native,1,30,1,0.17271157167530224,0.06173474637308365,0.8928571428571429
119,León,Columba livia,102,32,2116,Resident,Extant,Introduced,29,552,10,28.431372549019606,26.08695652173913,31.25
119,León,Columbina inca,102,32,2116,Resident,Extant,Native,65,1064,18,63.72549019607843,50.283553875236294,56.25
119,León,Columbina passerina,102,32,2116,Resident,Extant,Native,1,60,1,0.9803921568627451,2.835538752362949,3.125
119,León,Patagioenas fasciata,102,32,2116,Resident,Extant,Native,0,0,0,0,0,0
119,León,Streptopelia decaocto,102,32,2116,Resident,Extant,Introduced,41,454,6,40.19607843137255,21.455576559546312,18.75
119,León,Zenaida asiatica,102,32,2116,Resident,Extant,Native,54,901,17,52.94117647058823,42.58034026465028,53.125
119,León,Zenaida macroura,102,32,2116,Resident,Extant,Native,23,551,10,22.54901960784314,26.03969754253308,31.25
122,Acapulco,Columba livia,119,62,4045,Resident,Extant,Introduced,39,1768,26,32.773109243697476,43.708281829419036,41.935483870967744
122,Acapulco,Columbina inca,119,62,4045,Resident,Extant,Native,16,599,13,13.445378151260504,14.80840543881335,20.967741935483872
122,Acapulco,Columbina passerina,119,62,4045,Resident,Extant,Native,3,130,3,2.5210084033613445,3.2138442521631645,4.838709677419355
122,Acapulco,Columbina talpacoti,119,62,4045,Resident,Extant,Native,33,1053,15,27.73109243697479,26.03213844252163,24.193548387096776
122,Acapulco,Geotrygon montana,119,62,4045,Resident,Extant,Native,0,0,0,0,0,0
122,Acapulco,Leptotila verreauxi,119,62,4045,Resident,Extant,Native,1,24,1,0.8403361344537815,0.5933250927070457,1.6129032258064515
122,Acapulco,Patagioenas flavirostris,119,62,4045,Resident,Extant,Native,1,90,1,0.8403361344537815,2.2249690976514214,1.6129032258064515
122,Acapulco,Streptopelia decaocto,119,62,4045,Resident,Extant,Introduced,11,564,9,9.243697478991596,13.943139678615575,14.516129032258064
122,Acapulco,Zenaida asiatica,119,62,4045,Resident,Extant,Native,11,519,6,9.243697478991596,12.830655129789864,9.67741935483871
122,Acapulco,Zenaida macroura,119,62,4045,Non-breeding Season,Extant,Native,2,188,2,1.680672268907563,4.647713226205192,3.225806451612903
126,Torreon,Columba livia,98,32,5109,Resident,Extant,Introduced,34,2116,14,34.69387755102041,41.41710706596203,43.75
126,Torreon,Columbina inca,98,32,5109,Resident,Extant,Native,28,1380,11,28.571428571428573,27.011156782149147,34.375
126,Torreon,Leptotila verreauxi,98,32,5109,NA,NA,NA,1,23,1,1.0204081632653061,0.4501859463691525,3.125
126,Torreon,Streptopelia decaocto,98,32,5109,Resident,Extant,Introduced,42,2570,13,42.857142857142854,50.303386181248776,40.625
126,Torreon,Zenaida asiatica,98,32,5109,Resident,Extant,Native,53,2902,20,54.08163265306123,56.801722450577415,62.5
126,Torreon,Zenaida macroura,98,32,5109,Resident,Extant,Native,30,1956,9,30.612244897959183,38.28537874339401,28.125
139,Seattle,Columba livia,117934,15400,3818597,Resident,Extant,Introduced,12100,449672,2016,10.259975918734208,11.775843326750637,13.090909090909092
139,Seattle,Patagioenas fasciata,117934,15400,3818597,Breeding Season,Extant,Native,4831,246937,744,4.0963589804466904,6.4666944430113995,4.8311688311688314
139,Seattle,Streptopelia decaocto,117934,15400,3818597,Resident,Extant,Introduced,1188,50921,299,1.007343090202995,1.3335002358195955,1.9415584415584415
139,Seattle,Streptopelia roseogrisea,117934,15400,3818597,NA,NA,NA,16,506,2,0.013566910305764242,0.013250940070397583,0.012987012987012988
139,Seattle,Zenaida macroura,117934,15400,3818597,Resident,Extant,Native,758,42305,224,0.642732375735581,1.10786762782247,1.4545454545454546
140,Querétaro,Columba livia,407,132,16892,Resident,Extant,Introduced,72,3371,41,17.69041769041769,19.956192280369407,31.060606060606062
140,Querétaro,Columbina inca,407,132,16892,Resident,Extant,Native,191,9118,85,46.92874692874693,53.97821453942695,64.39393939393939
140,Querétaro,Columbina passerina,407,132,16892,Resident,Extant,Native,4,115,1,0.9828009828009828,0.6807956429078854,0.7575757575757576
140,Querétaro,Patagioenas fasciata,407,132,16892,Resident,Extant,Native,0,0,0,0,0,0
140,Querétaro,Streptopelia decaocto,407,132,16892,Resident,Extant,Introduced,120,5053,63,29.484029484029485,29.91356855316126,47.72727272727273
140,Querétaro,Streptopelia roseogrisea,407,132,16892,NA,NA,NA,6,421,3,1.4742014742014742,2.4923040492540847,2.272727272727273
140,Querétaro,Zenaida asiatica,407,132,16892,Resident,Extant,Native,268,12783,80,65.84766584766585,75.67487568079564,60.60606060606061
140,Querétaro,Zenaida macroura,407,132,16892,Resident,Extant,Native,111,5682,44,27.272727272727273,33.63722472176178,33.333333333333336
143,Ciudad Juárez,Columba livia,750,308,24984,Resident,Extant,Introduced,234,6750,124,31.2,27.01729106628242,40.25974025974026
143,Ciudad Juárez,Columbina inca,750,308,24984,Resident,Extant,Native,50,2550,29,6.666666666666667,10.20653218059558,9.415584415584416
143,Ciudad Juárez,Patagioenas fasciata,750,308,24984,Resident,Extant,Native,0,0,0,0,0,0
143,Ciudad Juárez,Streptopelia decaocto,750,308,24984,Resident,Extant,Introduced,139,4578,66,18.533333333333335,18.323727185398656,21.428571428571427
143,Ciudad Juárez,Zenaida asiatica,750,308,24984,Resident,Extant,Native,471,17465,187,62.8,69.90473903298111,60.714285714285715
143,Ciudad Juárez,Zenaida macroura,750,308,24984,Resident,Extant,Native,137,4437,83,18.266666666666666,17.759365994236312,26.948051948051948
144,San Luis Potosí,Columba livia,199,110,4198,Resident,Extant,Introduced,32,657,28,16.08040201005025,15.650309671272034,25.454545454545453
144,San Luis Potosí,Columbina inca,199,110,4198,Resident,Extant,Native,50,1044,36,25.12562814070352,24.86898523106241,32.72727272727273
144,San Luis Potosí,Columbina passerina,199,110,4198,Resident,Extant,Native,0,0,0,0,0,0
144,San Luis Potosí,Leptotila verreauxi,199,110,4198,NA,NA,NA,2,16,2,1.0050251256281406,0.38113387327298714,1.8181818181818181
144,San Luis Potosí,Streptopelia decaocto,199,110,4198,Resident,Extant,Introduced,4,56,4,2.0100502512562812,1.3339685564554549,3.6363636363636362
144,San Luis Potosí,Zenaida asiatica,199,110,4198,Resident,Extant,Native,90,1565,58,45.22613065326633,37.27965697951405,52.72727272727273
144,San Luis Potosí,Zenaida macroura,199,110,4198,Resident,Extant,Native,3,40,3,1.5075376884422111,0.9528346831824679,2.727272727272727
146,Toluca,Columba livia,130,63,10127,Resident,Extant,Introduced,22,958,21,16.923076923076923,9.459859780784043,33.333333333333336
146,Toluca,Columbina inca,130,63,10127,Resident,Extant,Native,10,966,10,7.6923076923076925,9.53885652216846,15.873015873015873
146,Toluca,Patagioenas fasciata,130,63,10127,Resident,Extant,Native,0,0,0,0,0,0
146,Toluca,Streptopelia decaocto,130,63,10127,Resident,Extant,Introduced,4,415,4,3.076923076923077,4.097955959316678,6.349206349206349
146,Toluca,Zenaida asiatica,130,63,10127,Non-breeding Season,Extant,Native,0,0,0,0,0,0
146,Toluca,Zenaida macroura,130,63,10127,Resident,Extant,Native,26,3156,9,20,31.164214476152857,14.285714285714286
154,Cuernavaca,Columba livia,786,247,33143,Resident,Extant,Introduced,74,5971,36,9.414758269720101,18.015870621247323,14.574898785425102
154,Cuernavaca,Columbina inca,786,247,33143,Resident,Extant,Native,346,16065,109,44.020356234096695,48.47177382856108,44.12955465587044
154,Cuernavaca,Columbina passerina,786,247,33143,Resident,Extant,Native,2,25,2,0.2544529262086514,0.07543070935039073,0.8097165991902834
154,Cuernavaca,Columbina talpacoti,786,247,33143,NA,NA,NA,4,184,3,0.5089058524173028,0.5551700208188758,1.214574898785425
154,Cuernavaca,Leptotila verreauxi,786,247,33143,NA,NA,NA,5,433,4,0.6361323155216285,1.3064598859487675,1.6194331983805668
154,Cuernavaca,Patagioenas fasciata,786,247,33143,Resident,Extant,Native,2,240,2,0.2544529262086514,0.724134809763751,0.8097165991902834
154,Cuernavaca,Streptopelia decaocto,786,247,33143,Resident,Extant,Introduced,67,5345,26,8.524173027989821,16.12708565911354,10.526315789473685
